"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045333","cellular respiration","18/89","115/6480",0.156521739130435,11.3961895456766,13.2735927785025,8.38123527004948e-15,4.78568533919825e-12,2.43643451922856e-12,"YBL045C/YCR005C/YDR148C/YER065C/YJR048W/YJR121W/YLR304C/YLR395C/YNL117W/YNL037C/YNR001C/YOR065W/YOR136W/YPL262W/YPL134C/YPR191W/Q0055/Q0275",18
"BP","GO:0009060","aerobic respiration","17/89","99/6480",0.171717171717172,12.5025536261491,13.6091836953498,1.01518104967857e-14,5.78653198316784e-12,2.43643451922856e-12,"YBL045C/YCR005C/YDR148C/YER065C/YJR048W/YJR121W/YLR304C/YLR395C/YNL117W/YNL037C/YNR001C/YOR065W/YOR136W/YPL262W/YPR191W/Q0055/Q0275",17
"BP","GO:0015980","energy derivation by oxidation of organic compounds","18/89","165/6480",0.109090909090909,7.94279877425945,10.6599325640122,5.09107127032239e-12,2.89681955281344e-09,8.14571403251582e-10,"YBL045C/YCR005C/YDR148C/YER065C/YJR048W/YJR121W/YLR304C/YLR395C/YNL117W/YNL037C/YNR001C/YOR065W/YOR136W/YPL262W/YPL134C/YPR191W/Q0055/Q0275",18
"BP","GO:0006091","generation of precursor metabolites and energy","19/89","218/6480",0.0871559633027523,6.34573755282961,9.47423020656816,6.61892226933116e-11,3.7595478489801e-08,7.94270672319739e-09,"YBL045C/YCR005C/YDR148C/YER065C/YJR048W/YJR121W/YLR304C/YLR395C/YNL117W/YNL037C/YNR001C/YOR065W/YOR095C/YOR136W/YPL262W/YPL134C/YPR191W/Q0055/Q0275",19
"BP","GO:0006099","tricarboxylic acid cycle","9/89","31/6480",0.290322580645161,21.1380935121421,13.2622617826042,1.81452843944847e-10,1.02883762516728e-07,1.74194730187053e-08,"YCR005C/YDR148C/YER065C/YLR304C/YNL117W/YNL037C/YNR001C/YOR136W/YPL262W",9
"BP","GO:0045229","external encapsulating structure organization","18/89","247/6480",0.0728744939271255,5.30591820952554,8.1419845491032,4.18784264515518e-09,2.37031893715783e-06,2.87166352810641e-07,"YBL043W/YBR162C/YDR403W/YEL040W/YER124C/YGL028C/YGR014W/YGR279C/YHR139C/YHR143W/YJL158C/YKL096W/YLR110C/YLR286C/YMR305C/YMR307W/YNL066W/YOR247W",18
"BP","GO:0071555","cell wall organization","18/89","247/6480",0.0728744939271255,5.30591820952554,8.1419845491032,4.18784264515518e-09,2.37031893715783e-06,2.87166352810641e-07,"YBL043W/YBR162C/YDR403W/YEL040W/YER124C/YGL028C/YGR014W/YGR279C/YHR139C/YHR143W/YJL158C/YKL096W/YLR110C/YLR286C/YMR305C/YMR307W/YNL066W/YOR247W",18
"BP","GO:0071554","cell wall organization or biogenesis","18/89","297/6480",0.0606060606060606,4.41266598569969,7.10455645697351,7.52496595534657e-08,4.24408079881546e-05,4.51497957320794e-06,"YBL043W/YBR162C/YDR403W/YEL040W/YER124C/YGL028C/YGR014W/YGR279C/YHR139C/YHR143W/YJL158C/YKL096W/YLR110C/YLR286C/YMR305C/YMR307W/YNL066W/YOR247W",18
"BP","GO:1902600","proton transmembrane transport","11/89","105/6480",0.104761904761905,7.62760834670947,8.07934169182656,1.51880567355803e-07,8.55087594213169e-05,8.10029692564281e-06,"YBL099W/YBL045C/YDL004W/YDR536W/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",11
"BP","GO:0098662","inorganic cation transmembrane transport","13/89","173/6480",0.0751445086705202,5.47119568747159,7.03396006522225,5.35954847698903e-07,0.000301206624406784,2.57258326895474e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0098655","monoatomic cation transmembrane transport","13/89","176/6480",0.0738636363636364,5.3779366700715,6.94835967350386,6.53458113677825e-07,0.00036659000177326,2.85145358695778e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0034220","monoatomic ion transmembrane transport","13/89","184/6480",0.0706521739130435,5.14411333659013,6.72934447952982,1.08724789400768e-06,0.000608858820644303,4.34899157603073e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0098660","inorganic ion transmembrane transport","13/89","194/6480",0.0670103092783505,4.8789528553226,6.47280855813996,1.98028458367417e-06,0.00110697908227386,7.31182000125846e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0006812","monoatomic cation transport","13/89","209/6480",0.062200956937799,4.52878877479705,6.11920482639406,4.54713607250665e-06,0.00253730192845871,0.000155901808200228,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0000920","septum digestion after cytokinesis","5/89","20/6480",0.25,18.2022471910112,9.09177139898862,5.75215366461304e-06,0.00320394959118946,0.000184068917267617,"YBR158W/YER124C/YHR143W/YLR286C/YNL327W",5
"BP","GO:0022900","electron transport chain","7/89","53/6480",0.132075471698113,9.61628153487386,7.43221475807111,6.7070985541153e-06,0.0037291467960881,0.000201212956623459,"YJR048W/YLR395C/YOR065W/YPL134C/YPR191W/Q0055/Q0275",7
"BP","GO:0006811","monoatomic ion transport","13/89","227/6480",0.0572687224669604,4.16967777062812,5.73651868980151,1.12302422083868e-05,0.00623278442565467,0.000317089191766215,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"BP","GO:0005975","carbohydrate metabolic process","14/89","277/6480",0.0505415162454874,3.67987668843548,5.37920864076246,2.08167211893212e-05,0.011532463538884,0.000555112565048566,"YCR005C/YEL040W/YER065C/YGL028C/YGR279C/YKR097W/YLR286C/YLR377C/YMR305C/YMR307W/YNL117W/YNL066W/YNR001C/YOR095C",14
"BP","GO:0006119","oxidative phosphorylation","6/89","44/6480",0.136363636363636,9.92849846782431,7.01231365489602,2.62957645869076e-05,0.0145415578165599,0.000664314052721877,"YJR048W/YJR121W/YLR395C/YOR065W/YPR191W/Q0275",6
"BP","GO:0022904","respiratory electron transport chain","6/89","45/6480",0.133333333333333,9.70786516853933,6.91684847190024,3.00092165047418e-05,0.0165650875106175,0.000720221196113804,"YJR048W/YLR395C/YOR065W/YPL134C/YPR191W/Q0275",6
"BP","GO:0051301","cell division","14/89","296/6480",0.0472972972972973,3.44366838748861,5.07829552169975,4.35830722878954e-05,0.0240142728306304,0.000996184509437608,"YBR158W/YCL024W/YDR507C/YER124C/YGR014W/YGR109C/YHR143W/YIL140W/YLR286C/YMR199W/YNL327W/YNL289W/YNL066W/YPL256C",14
"CC","GO:0005576","extracellular region","20/89","129/6479",0.155038759689922,11.2864733037192,13.9264217054163,2.69598608757686e-16,3.07342413983762e-14,1.81624325899915e-14,"YBR162C/YDR134C/YEL040W/YER065C/YGL028C/YGR014W/YGR279C/YHR143W/YJL158C/YJL079C/YKL096W/YLR042C/YLR110C/YLR286C/YMR305C/YMR307W/YNL327W/YNL300W/YNL066W/YOR247W",20
"CC","GO:0009277","fungal-type cell wall","18/89","134/6479",0.134328358208955,9.77880261613282,12.1181665324757,1.32713158269896e-13,1.49965868844983e-11,2.91005104000248e-12,"YBR162C/YDR134C/YEL040W/YGL028C/YGR279C/YHR143W/YJL158C/YKL096W/YLR042C/YLR110C/YLR286C/YMR305C/YMR307W/YNL327W/YNL300W/YNL066W/YOR247W/YPL163C",18
"CC","GO:0005618","cell wall","18/89","135/6479",0.133333333333333,9.7063670411985,12.0638885189194,1.51514736468727e-13,1.69696504844974e-11,2.91005104000248e-12,"YBR162C/YDR134C/YEL040W/YGL028C/YGR279C/YHR143W/YJL158C/YKL096W/YLR042C/YLR110C/YLR286C/YMR305C/YMR307W/YNL327W/YNL300W/YNL066W/YOR247W/YPL163C",18
