# Program:featureCounts v2.0.2; Command:"featureCounts" "-T" "10" "-a" "/scratch_tmp/grp/msc_appbio/group10/ref_genome/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group10/outputs/featureCounts/all_samples_gene_counts.txt" "-t" "exon" "-g" "gene_id" "-p" "-B" "--countReadPairs" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group10/outputs/SRR11318271_Aligned.sortedByCoord.out.bam
YAL068C	NC_001133.9	1807	2169	-	363	28	47	32	25
YAL067W-A	NC_001133.9	2480	2707	+	228	0	0	0	0
YAL067C	NC_001133.9	7235	9016	-	1782	0	0	4	0
YAL065C	NC_001133.9	11565	11951	-	387	2	8	4	5
YAL064W-B	NC_001133.9	12046	12426	+	381	44	65	46	49
YAL064C-A	NC_001133.9	13363	13743	-	381	0	0	0	0
YAL064W	NC_001133.9	21566	21850	+	285	0	0	0	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0	0	0	0
YAL063C	NC_001133.9	24000	27968	-	3969	563	670	530	628
YAL062W	NC_001133.9	31567	32940	+	1374	11876	12232	13819	12900
YAL061W	NC_001133.9	33448	34701	+	1254	11352	9625	10798	7430
YAL060W	NC_001133.9	35155	36303	+	1149	12027	13798	5998	6687
YAL059W	NC_001133.9	36509	37147	+	639	2940	2592	2369	3294
YAL058W	NC_001133.9	37464	38972	+	1509	1587	1597	1410	1519
YAL056W	NC_001133.9	39259	41901	+	2643	4095	4244	4389	3784
YAL055W	NC_001133.9	42177	42719	+	543	1633	1661	1694	1338
YAL054C	NC_001133.9	42881	45022	-	2142	109399	93118	127563	88646
YAL053W	NC_001133.9	45899	48250	+	2352	9718	10125	10670	9743
YAL051W	NC_001133.9	48564	51707	+	3144	2754	2887	2764	2157
YAL049C	NC_001133.9	51855	52595	-	741	5601	5110	6296	6150
YAL048C	NC_001133.9	52801	54789	-	1989	1902	1985	2055	1441
YAL047C	NC_001133.9	54989	56857	-	1869	1170	1103	952	934
YAL046C	NC_001133.9	57029	57385	-	357	1616	1811	1388	1931
YAL044W-A	NC_001133.9	57518	57850	+	333	2791	3004	2602	2832
YAL044C	NC_001133.9	57950	58462	-	513	6001	5555	7383	7559
YAL043C	NC_001133.9	58695	61052	-	2358	3262	3391	3321	2296
YAL042W	NC_001133.9	61316	62563	+	1248	8320	8264	7143	6611
YAL041W	NC_001133.9	62840	65404	+	2565	2381	2528	2193	2548
YAL040C	NC_001133.9	65778	67520	-	1743	1259	1464	1552	1377
YAL039C	NC_001133.9	68716	69525	-	810	3609	3937	3583	3435
YAL038W	NC_001133.9	71786	73288	+	1503	127469	148114	120430	85388
YAL037C-A	NC_001133.9	73426	73518	-	93	30	50	40	90
YAL037W	NC_001133.9	74020	74823	+	804	759	739	640	817
YAL036C	NC_001133.9	75043	76152	-	1110	2542	2754	2323	3069
YAL035W	NC_001133.9	76427	79435	+	3009	12378	13856	12641	10002
YAL034W-A	NC_001133.9	79718	80587	+	870	594	714	622	920
YAL034C	NC_001133.9	80710	81951	-	1242	9096	9037	8927	5379
YAL033W	NC_001133.9	82706	83227	+	522	2007	1669	1289	2335
YAL032C	NC_001133.9	83335	84474	-	1140	2382	2336	2160	1720
YAL031C	NC_001133.9	84749	87031	-	2283	2319	2419	2119	1891
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	4100	4219	3413	2747
YAL029C	NC_001133.9	87855	92270	-	4416	1694	1993	2154	3266
YAL028W	NC_001133.9	92900	94486	+	1587	1307	1288	1415	1005
YAL027W	NC_001133.9	94687	95472	+	786	2237	2188	1764	1547
YAL026C	NC_001133.9	95630	99697	-	4068	2491	2834	2553	3028
YNCA0001W	NC_001133.9	99305	99868	+	564	15	15	16	13
YAL025C	NC_001133.9	100225	101145	-	921	2709	3276	2510	3115
YAL024C	NC_001133.9	101565	105872	-	4308	1013	1144	870	740
YAL023C	NC_001133.9	106272	108551	-	2280	4614	6073	3954	4557
YAL022C	NC_001133.9	108877	110430	-	1554	1664	1692	1753	1845
YAL021C	NC_001133.9	110846	113359	-	2514	4502	5186	5254	4334
YAL020C	NC_001133.9	113614	114615	-	1002	3541	4301	2385	2351
YAL019W	NC_001133.9	114919	118314	+	3396	1644	2052	1599	1632
